loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,1.2,1.2,1.4,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1
72.0,7.0,1.0,6.0,198.0,1134.13,0.05,20.31,55.85,23029.1,0.38,1279.39,51,10,8,1,17.0,36.0,112.0,86.0,13.0,1
190.0,3.0,1.0,3.0,600.0,4348.76,0.06,17.06,254.87,74202.67,1.45,4122.37,129,29,28,2,17.0,135.0,329.0,271.0,5.0,1
37.0,4.0,1.0,4.0,126.0,599.12,0.06,17.19,34.86,10297.3,0.2,572.07,28,1,6,0,11.0,16.0,76.0,50.0,7.0,1
31.0,2.0,1.0,2.0,111.0,582.52,0.08,12.25,47.55,7135.87,0.19,396.44,19,0,5,0,14.0,24.0,69.0,42.0,3.0,1
78.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,1
8.0,1.0,1.0,1.0,16.0,50.72,0.36,2.8,18.11,142.01,0.02,7.89,5,0,1,0,4.0,5.0,9.0,7.0,1.0,1
24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,1
143.0,22.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,43.0,1
73.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,1
83.0,11.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,21.0,1
12.0,3.0,1.0,1.0,37.0,167.37,0.15,6.87,24.34,1150.68,0.06,63.93,8,0,2,0,11.0,12.0,22.0,15.0,5.0,1
48.0,4.0,1.0,4.0,129.0,695.61,0.06,17.35,40.1,12067.3,0.23,670.41,29,1,16,0,19.0,23.0,87.0,42.0,7.0,1
68.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,1
138.0,22.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,43.0,1
10.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,6,0,4.0,4.0,5.0,4.0,1.0,1
250.0,49.0,34.0,16.0,1469.0,9673.31,0.01,97.0,99.72,938311.06,3.22,52128.39,139,92,17,0,32.0,64.0,1081.0,388.0,97.0,1
77.0,8.0,1.0,1.0,284.0,1160.84,0.02,40.95,28.35,47536.38,0.39,2640.91,59,0,16,0,7.0,10.0,167.0,117.0,15.0,1
85.0,9.0,1.0,7.0,277.0,1714.58,0.03,32.64,52.53,55961.02,0.57,3108.95,69,0,14,0,26.0,47.0,161.0,118.0,13.0,1
110.0,17.0,13.0,8.0,322.0,2069.26,0.03,33.41,61.94,69127.22,0.69,3840.4,81,13,14,0,27.0,59.0,176.0,146.0,33.0,1
49.0,6.0,6.0,3.0,171.0,927.89,0.04,25.33,36.63,23506.58,0.31,1305.92,34,0,13,0,19.0,24.0,107.0,64.0,11.0,1
187.0,35.0,26.0,16.0,526.0,3296.33,0.02,42.56,77.45,140300.03,1.1,7794.45,164,1,16,0,21.0,56.0,299.0,227.0,69.0,1
27.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,1
38.0,8.0,1.0,3.0,145.0,673.36,0.05,20.53,32.8,13824.9,0.22,768.05,29,0,7,0,9.0,16.0,72.0,73.0,15.0,1
294.0,43.0,33.0,24.0,814.0,5811.59,0.02,40.88,142.15,237606.8,1.94,13200.38,223,41,26,2,28.0,113.0,484.0,330.0,85.0,1
29.0,3.0,1.0,3.0,88.0,465.12,0.08,12.04,38.63,5599.99,0.16,311.11,21,0,6,0,14.0,25.0,45.0,43.0,5.0,1
160.0,5.0,4.0,3.0,698.0,4862.12,0.03,33.11,146.86,160969.13,1.62,8942.73,123,11,23,1,22.0,103.0,388.0,310.0,9.0,1
94.0,16.0,9.0,5.0,218.0,1236.59,0.03,34.52,35.83,42683.63,0.41,2371.31,66,19,6,1,22.0,29.0,127.0,91.0,31.0,1
